Session Time,GPS Fix Quality,Number of Satellites,GPS Date & Time,Latitude (deg),Longitude (deg),GPS Altitude (feet),Ground Speed (knots),Ground Track (deg),Mag Var (deg),Cross Track Error (NM),Destination Waypoint ID,Range to Destination (NM),Bearing to Destination (deg),System Time,Pitch (deg),Roll (deg),Magnetic Heading (deg),Indicated Airspeed (knots),Pressure Altitude (ft),Turn Rate (deg/s),Lateral Accel (g),Vertical Accel(g),Angle of Attack (%),Vertical Speed (ft/min),OAT (deg C),True Airspeed (knots),Barometer Setting (inHg),Density Altitude (ft),Wind Direction (deg),Wind Speed (knots),Heading Bug (deg),Altitude Bug (ft),Airspeed Bug (knots),Vertical Speed Bug (ft/min),Course (deg),CDI Source Type,CDI Source Port,CDI Scale (NM),CDI Deflection (%),Glideslope (%),AP Engaged,AP Roll Mode,AP Roll Force,AP Roll Position (steps),AP Roll Slip (bool),AP Pitch Force,AP Pitch Position (steps),AP Pitch Slip (bool),AP Yaw Force,AP Yaw Position,AP Yaw Slip (bool),Transponder Status,Transponder Reply (bool),Transponder Identing (bool),Transponder Code (octal),Oil Pressure (PSI),Oil Temp (deg C),RPM L,RPM R,Manifold Pressure (inHg),Fuel Flow 1 (gal/hr),Fuel Flow 2 (gal/hr),Fuel Pressure (PSI),Fuel Level L (gal),Fuel Level R (gal),Fuel Remaining (gal),Volts 1,Volts 2,Amps,Hobbs Time,Tach Time,Thermocouple 1 (deg C),Thermocouple 2 (deg C),Thermocouple 3 (deg C),Thermocouple 4 (deg C),Thermocouple 5 (deg C),Thermocouple 6 (deg C),Thermocouple 7 (deg C),Thermocouple 8 (deg C),Thermocouple 9 (deg C),EGT 2 (deg C),Thermocouple 11 (deg C),EGT 1 (deg C),Thermocouple 13 (deg C),Thermocouple 14 (deg C),CHT 1 TEMPERATURE (deg C),CHT 2 TEMPERATURE (deg C),ELEV POSITION (%),FUEL PRESSURE (PSI),PHEAT CONTACT (V),GP Input 6,GP Input 7,GP Input 8,GP Input 9,GP Input 10,OIL PRESSURE (PSI),OIL TEMPERATURE (deg C),GP Input 13,Contacts,Percent Power,EGT Leaning State,
653.06,1,12,2022-09-24 10:20:16,+55.36716,+10.03039,186,0.0,358.0,-3.8,,,,,10:20:16,+2.3,-1.2,185.3,0.0,+174,+0.1,-0.02,+1.0,99,+1,+16,0.0,30.04,+350,,,138,,,,,0,0,,,,,,,+0,,,+0,,,,,1,0,0,"7000",3,+16,0,0,30.1,0.0,0.0,0.5,,,18.5,12.9,,-4.1,188.7,140.1,,,,,,,,,,+15,,+15,,,+15.1,+15.8,+13,+0.5,+4.998,,,,,,+3.3,+15.9,,,,,
654.06,1,12,2022-09-24 10:20:17,+55.36716,+10.03039,186,0.0,358.0,-3.8,,,,,10:20:17,+2.3,-1.1,185.3,0.0,+174,+0.1,-0.02,+1.0,99,-8,+16,0.0,30.04,+350,,,138,,,,,0,0,,,,,,,+0,,,+0,,,,,1,0,0,"7000",3,+16,0,0,30.1,0.0,0.0,0.5,,,18.5,12.9,,-4.1,188.7,140.1,,,,,,,,,,+15,,+15,,,+15.1,+15.8,+13,+0.5,+4.998,,,,,,+3.3,+15.9,,,,,
655.06,1,12,2022-09-24 10:20:18,+55.36716,+10.03039,186,0.0,358.0,-3.8,,,,,10:20:18,+2.3,-1.1,185.2,0.0,+174,+0.1,-0.02,+1.0,99,-2,+16,0.0,30.04,+350,,,138,,,,,0,0,,,,,,,+0,,,+0,,,,,1,0,0,"7000",3,+16,0,0,30.1,0.0,0.0,0.5,,,18.5,12.9,,-4.2,188.7,140.1,,,,,,,,,,+15,,+15,,,+15.1,+15.8,+13,+0.5,+4.998,,,,,,+3.3,+15.9,,,,,
656.06,1,12,2022-09-24 10:20:19,+55.36716,+10.03039,186,0.0,358.0,-3.8,,,,,10:20:19,+2.3,-1.1,185.2,0.0,+174,+0.1,-0.02,+1.0,99,-8,+16,0.0,30.04,+350,,,138,,,,,0,0,,,,,,,+0,,,+0,,,,,1,0,0,"7000",3,+16,0,0,30.1,0.0,0.0,0.5,,,18.5,12.9,,-4.2,188.7,140.1,,,,,,,,,,+15,,+15,,,+15.1,+15.8,+13,+0.5,+4.998,,,,,,+3.3,+15.9,,,,,
657.06,1,12,2022-09-24 10:20:20,+55.36716,+10.03039,186,0.0,358.0,-3.8,,,,,10:20:20,+2.4,-1.1,185.1,0.0,+174,+0.1,-0.02,+1.0,99,-8,+16,0.0,30.04,+350,,,138,,,,,0,0,,,,,,,+0,,,+0,,,,,1,0,0,"7000",3,+16,0,0,30.1,0.0,0.0,0.5,,,18.5,12.9,,-4.2,188.7,140.1,,,,,,,,,,+15,,+15,,,+15.1,+15.8,+13,+0.5,+4.998,,,,,,+3.3,+15.9,,,,,
658.06,1,12,2022-09-24 10:20:21,+55.36716,+10.03039,186,0.0,358.0,-3.8,,,,,10:20:21,+2.4,-1.1,185.2,0.0,+174,+0.1,-0.02,+1.0,99,+2,+16,0.0,30.04,+350,,,138,,,,,0,0,,,,,,,+0,,,+0,,,,,1,0,0,"7000",3,+16,0,0,30.1,0.0,0.0,0.5,,,18.5,12.9,,-4.2,188.7,140.1,,,,,,,,,,+15,,+15,,,+15.1,+15.8,+13,+0.5,+4.998,,,,,,+3.3,+15.9,,,,,
659.06,1,12,2022-09-24 10:20:22,+55.36716,+10.03039,186,0.0,358.0,-3.8,,,,,10:20:22,+2.4,-1.1,185.2,0.0,+174,+0.1,-0.02,+1.0,99,-6,+16,0.0,30.04,+350,,,138,,,,,0,0,,,,,,,+0,,,+0,,,,,1,0,0,"7000",3,+16,0,0,30.1,0.0,0.0,0.5,,,18.5,12.9,,-4.2,188.7,140.1,,,,,,,,,,+15,,+15,,,+15.1,+15.8,+13,+0.5,+4.998,,,,,,+3.3,+15.9,,,,,
660.06,1,12,2022-09-24 10:20:23,+55.36716,+10.03038,186,0.0,358.0,-3.8,,,,,10:20:23,+2.4,-1.1,185.1,0.0,+174,+0.1,-0.02,+1.0,99,-2,+16,0.0,30.04,+350,,,138,,,,,0,0,,,,,,,+0,,,+0,,,,,1,0,0,"7000",3,+16,0,0,30.1,0.0,0.0,0.5,,,18.5,12.9,,-4.2,188.7,140.1,,,,,,,,,,+15,,+15,,,+15.1,+15.8,+13,+0.5,+4.998,,,,,,+3.3,+15.9,,,,,
661.06,1,12,2022-09-24 10:20:24,+55.36716,+10.03038,186,0.0,358.0,-3.8,,,,,10:20:24,+2.4,-1.1,185.1,0.0,+174,+0.1,-0.02,+1.0,99,+24,+16,0.0,30.04,+350,,,138,,,,,0,0,,,,,,,+0,,,+0,,,,,1,0,0,"7000",3,+16,0,0,30.1,0.0,0.0,0.5,,,18.5,12.9,,-4.2,188.7,140.1,,,,,,,,,,+15,,+15,,,+15.1,+15.8,+13,+0.5,+4.998,,,,,,+3.3,+15.9,,,,,
662.06,1,12,2022-09-24 10:20:25,+55.36716,+10.03038,186,0.0,358.0,-3.8,,,,,10:20:25,+2.4,-1.1,185.0,0.0,+174,+0.1,-0.02,+1.0,99,+10,+16,0.0,30.04,+350,,,138,,,,,0,0,,,,,,,+0,,,+0,,,,,1,0,0,"7000"
